"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Canada","2016A000011124","Chained (2017) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1159666","","","","0"
"1991","Canada","2016A000011124","Chained (2017) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1135417","","","","0"
"1992","Canada","2016A000011124","Chained (2017) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1145527","","","","0"
"1993","Canada","2016A000011124","Chained (2017) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1175972","","","","0"
"1994","Canada","2016A000011124","Chained (2017) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1228821","","","","0"
"1995","Canada","2016A000011124","Chained (2017) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1261782","","","","0"
"1996","Canada","2016A000011124","Chained (2017) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1283093","","","","0"
"1997","Canada","2016A000011124","Chained (2017) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1338011","","","","0"
"1998","Canada","2016A000011124","Chained (2017) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1390098","","","","0"
"1999","Canada","2016A000011124","Chained (2017) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1461563","","","","0"
"2000","Canada","2016A000011124","Chained (2017) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1536666","","","","0"
"2001","Canada","2016A000011124","Chained (2017) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1565480","","","","0"
"2002","Canada","2016A000011124","Chained (2017) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1612433","","","","0"
"2003","Canada","2016A000011124","Chained (2017) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1641560","","","","0"
"2004","Canada","2016A000011124","Chained (2017) dollars","Gross domestic product at market prices","Dollars","81","millions","6","v62787277","1.1.38","1692323","","","","0"
