"Population estimates on July 1, by age and gender 1 2 3 4 5"
"Frequency: Annual"
"Table: 17-10-0005-01 (formerly CANSIM 051-0001)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gender","Total - gender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Age group 3 6","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","27,691,138","28,037,420","28,371,264","28,684,764","29,000,663","29,302,311","29,610,218","29,905,948","30,155,173","30,401,286","30,685,730","31,020,855","31,359,199","31,642,461","31,938,807","32,242,732","32,571,193","32,888,886","33,247,298","33,630,069","34,005,902","34,339,221","34,713,395","35,080,992","35,434,066","35,704,498","36,110,803","36,545,075","37,072,620","37,618,495","38,028,638","38,239,864","38,950,132","40,049,088","41,262,329","41,651,653"
"0 to 4 years","1,931,287","1,958,442","1,993,416","2,013,667","2,010,454","1,984,881","1,960,594","1,916,724","1,872,025","1,828,176","1,790,699","1,754,444","1,724,179","1,706,799","1,707,164","1,710,759","1,727,885","1,756,251","1,798,257","1,837,724","1,876,494","1,899,982","1,918,726","1,926,496","1,929,371","1,930,005","1,943,799","1,948,684","1,952,216","1,949,121","1,937,161","1,902,883","1,887,192","1,874,658","1,874,025","1,871,184"
"5 to 9 years","1,923,491","1,934,715","1,948,334","1,954,420","1,968,145","1,991,977","2,015,880","2,040,433","2,059,856","2,056,299","2,036,949","2,016,702","1,988,333","1,947,236","1,904,685","1,864,519","1,824,515","1,801,771","1,790,228","1,791,496","1,790,933","1,809,872","1,846,795","1,892,241","1,930,745","1,969,407","2,004,040","2,026,743","2,043,748","2,056,265","2,067,384","2,072,565","2,090,692","2,120,248","2,151,780","2,138,350"
"10 to 14 years","1,874,934","1,902,403","1,930,673","1,957,969","1,982,380","1,997,650","2,009,325","2,020,613","2,026,586","2,034,559","2,055,843","2,079,498","2,114,426","2,138,756","2,141,408","2,124,210","2,096,088","2,065,719","2,032,017","1,996,430","1,958,874","1,917,116","1,895,615","1,887,081","1,893,854","1,895,854","1,920,169","1,952,245","2,001,618","2,047,524","2,092,804","2,114,016","2,146,637","2,187,386","2,232,438","2,251,628"
"15 to 19 years","1,938,489","1,927,520","1,926,856","1,932,135","1,956,819","1,981,185","2,009,898","2,028,117","2,052,607","2,074,904","2,095,909","2,115,979","2,128,137","2,129,666","2,143,814","2,175,863","2,211,500","2,231,886","2,250,647","2,255,456","2,248,646","2,236,579","2,199,349","2,158,367","2,124,336","2,100,302","2,089,925","2,081,573","2,083,934","2,089,984","2,082,685","2,059,975","2,140,739","2,230,085","2,313,964","2,319,393"
"20 to 24 years","2,120,451","2,085,828","2,067,749","2,045,459","2,024,094","2,008,487","2,000,975","2,007,172","2,012,767","2,038,540","2,068,377","2,109,094","2,142,283","2,177,912","2,210,771","2,234,087","2,251,704","2,261,099","2,264,280","2,285,648","2,321,697","2,352,455","2,390,447","2,417,497","2,424,267","2,399,432","2,394,672","2,418,375","2,457,110","2,489,653","2,473,470","2,404,398","2,465,156","2,589,895","2,741,716","2,703,780"
"25 to 29 years","2,583,238","2,508,203","2,431,959","2,336,877","2,248,968","2,180,669","2,151,476","2,129,734","2,105,560","2,084,712","2,074,212","2,073,070","2,085,524","2,098,490","2,124,787","2,150,882","2,184,644","2,224,415","2,272,526","2,321,538","2,357,127","2,368,361","2,383,114","2,392,494","2,413,326","2,432,054","2,469,206","2,520,707","2,591,885","2,653,167","2,679,330","2,674,655","2,747,627","2,897,646","3,031,487","2,995,647"
"30 to 34 years","2,533,392","2,585,279","2,604,351","2,626,757","2,639,979","2,628,903","2,571,676","2,502,145","2,402,910","2,314,081","2,253,438","2,240,397","2,231,352","2,214,769","2,194,370","2,181,830","2,171,225","2,181,981","2,207,097","2,245,042","2,282,985","2,326,440","2,366,972","2,409,481","2,444,256","2,456,947","2,484,570","2,507,762","2,544,390","2,598,609","2,660,337","2,704,004","2,805,364","2,984,138","3,145,235","3,175,724"
"35 to 39 years","2,287,613","2,347,683","2,412,366","2,477,720","2,525,883","2,570,724","2,619,531","2,651,902","2,678,644","2,695,585","2,688,786","2,639,216","2,578,266","2,490,090","2,406,992","2,346,058","2,322,745","2,306,916","2,299,621","2,287,712","2,282,063","2,272,583","2,291,129","2,315,597","2,346,416","2,368,174","2,405,969","2,451,236","2,512,312","2,573,416","2,618,643","2,643,161","2,699,898","2,809,310","2,950,432","3,032,523"
"40 to 44 years","2,054,776","2,131,364","2,146,668","2,181,938","2,238,523","2,307,182","2,371,288","2,446,193","2,510,258","2,556,120","2,600,935","2,656,030","2,691,656","2,725,550","2,754,446","2,759,921","2,715,563","2,640,963","2,548,283","2,465,114","2,402,790","2,386,116","2,380,998","2,373,331","2,359,998","2,347,219","2,338,366","2,349,618","2,378,146","2,419,939","2,459,921","2,505,252","2,570,133","2,675,092","2,796,675","2,859,631"
"45 to 49 years","1,598,554","1,673,878","1,790,492","1,885,672","1,973,402","2,060,120","2,129,525","2,153,483","2,191,148","2,248,092","2,315,428","2,379,413","2,456,069","2,524,100","2,574,578","2,620,174","2,672,543","2,711,438","2,754,438","2,784,286","2,779,863","2,720,349","2,657,634","2,576,842","2,502,387","2,444,314","2,429,060","2,416,270","2,406,846","2,398,221","2,392,795","2,381,758","2,403,418","2,457,114","2,538,433","2,593,361"
"50 to 54 years","1,300,800","1,342,968","1,392,583","1,457,171","1,520,513","1,583,064","1,654,563","1,775,034","1,872,302","1,958,117","2,044,694","2,117,503","2,141,367","2,179,532","2,240,691","2,313,498","2,382,960","2,458,000","2,527,208","2,583,154","2,634,097","2,691,280","2,726,116","2,760,488","2,785,933","2,782,245","2,733,227","2,661,668","2,574,487","2,498,513","2,441,944","2,427,770","2,424,801","2,430,337","2,444,797","2,447,311"
"55 to 59 years","1,237,155","1,235,392","1,231,761","1,240,028","1,266,556","1,292,804","1,329,681","1,375,711","1,435,302","1,495,032","1,555,993","1,628,818","1,749,917","1,847,986","1,932,713","2,016,141","2,087,911","2,111,616","2,152,347","2,213,771","2,285,823","2,353,006","2,431,736","2,507,953","2,565,969","2,613,963","2,665,387","2,697,223","2,729,826","2,754,235","2,747,541","2,690,509","2,624,381","2,549,619","2,492,843","2,446,446"
"60 to 64 years","1,182,798","1,191,257","1,202,832","1,208,807","1,210,459","1,208,185","1,206,562","1,204,358","1,211,134","1,231,580","1,253,214","1,288,869","1,338,492","1,401,202","1,466,584","1,531,277","1,603,056","1,715,884","1,809,937","1,894,127","1,981,012","2,049,927","2,070,033","2,110,488","2,171,320","2,242,875","2,312,728","2,387,488","2,458,662","2,516,589","2,565,102","2,612,928","2,645,150","2,681,436","2,712,778","2,708,208"
"65 to 69 years","1,072,184","1,086,077","1,089,479","1,098,424","1,102,407","1,111,958","1,122,616","1,136,527","1,143,492","1,144,643","1,141,975","1,142,022","1,140,929","1,149,245","1,171,532","1,194,141","1,235,105","1,284,540","1,343,881","1,404,407","1,464,190","1,531,972","1,644,537","1,740,936","1,822,416","1,902,798","1,969,001","1,993,484","2,031,297","2,091,884","2,161,130","2,226,492","2,304,280","2,379,499","2,442,866","2,494,286"
